Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1             Pavarde1            4         2         4         4         8         2         5         6         1         9         2         10        7         9         5         1         
Vardas2             Pavarde2            5         1         5         7         4         4         6         10        7         6         8         2         10        4         9         10        
Vardas3             Pavarde3            6         3         1         3         4         4         7         6         7         6         2         7         6         1         2         10        
Vardas4             Pavarde4            8         9         10        8         6         5         4         7         9         10        2         1         6         5         9         5         
Vardas5             Pavarde5            10        3         5         10        9         7         1         9         3         1         3         1         8         5         7         10        
Vardas6             Pavarde6            9         8         2         1         3         1         4         7         1         5         3         4         2         7         8         3         
Vardas7             Pavarde7            9         2         3         4         10        3         2         10        7         7         8         4         6         2         9         5         
Vardas8             Pavarde8            10        8         9         3         5         4         3         10        1         10        7         5         10        6         6         7         
Vardas9             Pavarde9            6         1         3         7         8         3         9         1         2         1         2         10        3         7         7         9         
Vardas10            Pavarde10           10        6         3         2         5         10        10        5         8         9         4         2         2         10        6         8         
Vardas11            Pavarde11           9         2         2         9         6         7         1         8         8         6         9         5         3         1         8         9         
Vardas12            Pavarde12           3         2         6         9         1         1         10        6         1         10        4         8         8         5         2         4         
Vardas13            Pavarde13           4         10        4         10        9         2         1         9         9         10        7         6         6         6         6         2         
Vardas14            Pavarde14           2         9         6         10        3         8         9         10        8         8         2         3         4         9         1         3         
Vardas15            Pavarde15           1         5         4         10        8         4         3         1         1         3         10        3         10        10        4         6         
Vardas16            Pavarde16           4         6         9         10        2         9         3         7         5         8         6         3         10        10        5         7         
Vardas17            Pavarde17           8         5         10        2         1         8         7         7         10        10        2         7         10        2         6         4         
Vardas18            Pavarde18           4         1         10        9         2         10        7         9         8         9         8         8         3         5         1         7         
Vardas19            Pavarde19           7         9         7         8         6         7         2         9         10        3         3         7         1         7         5         3         
Vardas20            Pavarde20           1         4         2         5         7         1         6         2         7         1         10        10        3         1         10        4         
Vardas21            Pavarde21           7         3         3         8         7         4         4         4         4         10        5         3         9         1         3         1         
Vardas22            Pavarde22           7         7         9         7         10        7         3         9         10        3         3         3         2         3         1         9         
Vardas23            Pavarde23           5         2         3         7         7         3         6         8         4         8         4         4         2         7         9         8         
Vardas24            Pavarde24           6         1         2         2         9         1         8         8         9         1         3         10        5         8         9         9         
Vardas25            Pavarde25           1         2         7         8         8         7         3         8         10        8         3         10        2         10        10        9         
Vardas26            Pavarde26           1         8         4         2         5         9         1         4         1         3         4         1         7         7         9         1         
Vardas27            Pavarde27           3         4         1         9         1         10        8         1         2         7         4         9         2         3         9         9         
Vardas28            Pavarde28           4         3         4         10        5         5         4         3         8         10        5         4         9         9         6         8         
Vardas29            Pavarde29           8         10        10        6         1         5         8         7         6         7         9         7         4         3         3         9         
Vardas30            Pavarde30           8         10        9         6         4         6         6         2         6         2         3         9         7         7         6         10        
Vardas31            Pavarde31           1         5         2         8         2         10        9         9         5         10        6         2         7         3         5         9         
Vardas32            Pavarde32           3         4         5         7         1         2         8         7         5         10        8         1         7         6         9         2         
Vardas33            Pavarde33           5         1         6         1         3         4         3         4         6         2         5         6         9         8         5         8         
Vardas34            Pavarde34           7         6         7         2         9         4         3         6         2         8         5         4         8         7         7         3         
Vardas35            Pavarde35           1         1         7         8         3         9         4         7         1         2         2         4         6         2         2         4         
Vardas36            Pavarde36           7         5         7         6         3         10        1         6         9         8         8         8         5         2         6         7         
Vardas37            Pavarde37           10        10        9         3         10        7         1         8         2         9         1         7         6         10        5         9         
Vardas38            Pavarde38           6         8         10        1         8         1         10        2         6         1         6         3         9         3         2         10        
Vardas39            Pavarde39           4         6         1         4         8         6         2         3         4         3         7         7         2         7         3         10        
Vardas40            Pavarde40           4         3         3         7         3         8         5         1         5         2         8         7         5         1         2         3         
Vardas41            Pavarde41           7         3         2         8         6         1         7         7         5         4         2         3         5         5         7         1         
Vardas42            Pavarde42           9         8         2         8         8         7         3         7         4         10        9         10        5         7         3         5         
Vardas43            Pavarde43           7         9         10        4         10        6         9         4         2         5         5         9         2         3         6         5         
Vardas44            Pavarde44           6         1         10        4         8         7         10        5         5         5         8         10        6         6         1         5         
